Parameter,SNR,Value,Error
pvs_radial,inf,0.0012285714285714287,-44.49853281553346
pvs_radial,inf,0.0012857142857142859,-44.54198345535495
pvs_radial,inf,0.001342857142857143,-44.58008148277129
pvs_radial,inf,0.0014,-44.61321698075073
pvs_radial,inf,0.0014571428571428572,-44.64176242988608
pvs_radial,inf,0.0015142857142857143,-44.66607184584876
pvs_radial,inf,0.0015714285714285715,-44.68648025371312
pvs_radial,inf,0.0016285714285714287,-44.7033034608755
pvs_radial,inf,0.0016857142857142858,-44.71683808879361
pvs_radial,inf,0.001742857142857143,-44.727361823845385
pvs_radial,inf,0.0018,-44.7351338489595
pvs_radial,inf,0.0018571428571428571,-44.740395419998855
pvs_radial,inf,0.0019142857142857143,-44.74337055389239
pvs_radial,inf,0.0019714285714285715,-44.7442667989459
pvs_radial,inf,0.0020285714285714286,-44.74327606139787
pvs_radial,inf,0.002085714285714286,-44.74057546593749
pvs_radial,inf,0.002142857142857143,-44.73632823143124
pvs_radial,inf,0.0022,-44.73068454641177
pvs_radial,inf,0.0022571428571428573,-44.72378243190269
pvs_radial,inf,0.0023142857142857145,-44.71574858184938
pvs_radial,inf,0.0023714285714285716,-44.70669917378397
pvs_radial,inf,0.002428571428571429,-44.696740644380064
pvs_radial,inf,0.002485714285714286,-44.68597042625926
pvs_radial,inf,0.0025428571428571427,-44.674477643827956
pvs_radial,inf,0.0026,-44.662343767073835
pvs_radial,inf,0.002657142857142857,-44.64964322316934
pvs_radial,inf,0.0027142857142857142,-44.63644396644469
pvs_radial,inf,0.0027714285714285714,-44.622808007837584
pvs_radial,inf,0.0028285714285714286,-44.608791905324786
pvs_radial,inf,0.0028857142857142857,-44.59444721712064
pvs_radial,inf,0.002942857142857143,-44.579820919609624
pvs_radial,inf,0.003,-44.56495579208342
pvs_fraction,inf,0.0,-49.999999999999964
pvs_fraction,inf,0.02040816326530612,-49.41174445843056
pvs_fraction,inf,0.04081632653061224,-48.818002558544904
pvs_fraction,inf,0.061224489795918366,-48.21842165955705
pvs_fraction,inf,0.08163265306122448,-47.6126531944618
pvs_fraction,inf,0.1020408163265306,-47.000348960768164
pvs_fraction,inf,0.12244897959183673,-46.381157955769226
pvs_fraction,inf,0.14285714285714285,-45.75472358486661
pvs_fraction,inf,0.16326530612244897,-45.12068111732766
pvs_fraction,inf,0.18367346938775508,-44.478655294257415
pvs_fraction,inf,0.2040816326530612,-43.82825801378142
pvs_fraction,inf,0.22448979591836732,-43.16908603174113
pvs_fraction,inf,0.24489795918367346,-42.50071862465683
pvs_fraction,inf,0.26530612244897955,-41.82271516660998
pvs_fraction,inf,0.2857142857142857,-41.13461257385925
pvs_fraction,inf,0.3061224489795918,-40.43592257090667
pvs_fraction,inf,0.32653061224489793,-39.726128729643186
pvs_fraction,inf,0.3469387755102041,-39.00468322919203
pvs_fraction,inf,0.36734693877551017,-38.27100327808355
pvs_fraction,inf,0.3877551020408163,-37.52446713222038
pvs_fraction,inf,0.4081632653061224,-36.76440963139306
pvs_fraction,inf,0.42857142857142855,-35.990117163363784
pvs_fraction,inf,0.44897959183673464,-35.200821947037234
pvs_fraction,inf,0.4693877551020408,-34.395695504008664
pvs_fraction,inf,0.4897959183673469,-33.57384115948365
pvs_fraction,inf,0.5102040816326531,-32.73428537740873
pvs_fraction,inf,0.5306122448979591,-31.875967688157964
pvs_fraction,inf,0.5510204081632653,-30.997728906906424
pvs_fraction,inf,0.5714285714285714,-30.098297262159306
pvs_fraction,inf,0.5918367346938775,-29.176271950161826
pvs_fraction,inf,0.6122448979591836,-28.23010349264697
pvs_fraction,inf,0.6326530612244897,-27.25807008894563
pvs_fraction,inf,0.6530612244897959,-26.25824889891434
pvs_fraction,inf,0.673469387755102,-25.22848084067969
pvs_fraction,inf,0.6938775510204082,-24.166326991749767
pvs_fraction,inf,0.7142857142857142,-23.069013973870938
pvs_fraction,inf,0.7346938775510203,-21.93336467094423
pvs_fraction,inf,0.7551020408163265,-20.755709097128282
pvs_fraction,inf,0.7755102040816326,-19.531767902833813
pvs_fraction,inf,0.7959183673469387,-18.256497372894763
pvs_fraction,inf,0.8163265306122448,-16.923878937005114
pvs_fraction,inf,0.836734693877551,-15.526626528974303
pvs_fraction,inf,0.8571428571428571,-14.055768432403129
pvs_fraction,inf,0.8775510204081632,-12.500030138120291
pvs_fraction,inf,0.8979591836734693,-10.844887484631002
pvs_fraction,inf,0.9183673469387754,-9.071043295743475
pvs_fraction,inf,0.9387755102040816,-7.1518260893618795
pvs_fraction,inf,0.9591836734693877,-5.048391342964837
pvs_fraction,inf,0.9795918367346939,-2.6998896321259873
pvs_fraction,inf,1.0,0.0
alpha,50,0.0,-16.54427543844465
alpha,50,0.0320570678937734,-17.399068817224883
alpha,50,0.0641141357875468,-16.734470870450263
alpha,50,0.0961712036813202,-17.54112010960101
alpha,50,0.1282282715750936,-17.317641015214367
alpha,50,0.16028533946886703,-18.741082288459182
alpha,50,0.1923424073626404,-18.415264845304403
alpha,50,0.2243994752564138,-19.602512527005576
alpha,50,0.2564565431501872,-20.157452874349797
alpha,50,0.2885136110439606,-21.335275298361694
alpha,50,0.32057067893773405,-22.148347661278237
alpha,50,0.3526277468315074,-23.707499077935257
alpha,50,0.3846848147252808,-25.003191356146726
alpha,50,0.4167418826190542,-25.902344525121286
alpha,50,0.4487989505128276,-28.335925479202427
alpha,50,0.48085601840660097,-28.327062638921223
alpha,50,0.5129130863003744,-30.04380986475266
alpha,50,0.5449701541941478,-31.6464429068453
alpha,50,0.5770272220879212,-33.36056370274082
alpha,50,0.6090842899816946,-34.73393773319374
alpha,50,0.6411413578754681,-36.414373096978764
alpha,50,0.6731984257692414,-37.788375849910054
alpha,50,0.7052554936630148,-39.58743134239221
alpha,50,0.7373125615567883,-41.03767846416578
alpha,50,0.7693696294505616,-43.54381200491709
alpha,50,0.801426697344335,-44.42689807498044
alpha,50,0.8334837652381084,-46.477705465272436
alpha,50,0.8655408331318818,-47.83815471333547
alpha,50,0.8975979010256552,-49.847935560501114
alpha,50,0.9296549689194287,-51.46001823951258
alpha,50,0.9617120368132019,-53.00822924200173
alpha,50,0.9937691047069754,-54.863407274053394
alpha,50,1.0258261726007487,-56.40211307984155
alpha,50,1.0578832404945222,-58.54667052398961
alpha,50,1.0899403083882957,-58.63740702105251
alpha,50,1.1219973762820692,-60.25437904668628
alpha,50,1.1540544441758425,-61.64392110934796
alpha,50,1.1861115120696157,-62.8561254069849
alpha,50,1.2181685799633892,-63.68122456614217
alpha,50,1.2502256478571625,-64.79860843048839
alpha,50,1.2822827157509362,-65.61830967127106
alpha,50,1.3143397836447095,-66.54564526550413
alpha,50,1.3463968515384828,-67.03938250753248
alpha,50,1.3784539194322563,-68.40377939450308
alpha,50,1.4105109873260295,-68.06882115894832
alpha,50,1.442568055219803,-69.1252638363134
alpha,50,1.4746251231135765,-69.1154347003529
alpha,50,1.5066821910073498,-69.8095139409184
alpha,50,1.5387392589011233,-69.76199101568983
alpha,50,1.5707963267948966,-69.8592829096066
pvs_axial,50,0.0005,100.5456166598261
pvs_axial,50,0.0005510204081632653,83.25607756972309
pvs_axial,50,0.0006020408163265307,70.98516657518175
pvs_axial,50,0.0006530612244897959,62.45766901859317
pvs_axial,50,0.0007040816326530613,53.507506389452566
pvs_axial,50,0.0007551020408163266,44.20044326777497
pvs_axial,50,0.0008061224489795918,37.48469921386396
pvs_axial,50,0.0008571428571428571,30.782623630746553
pvs_axial,50,0.0009081632653061225,25.383685277519596
pvs_axial,50,0.0009591836734693879,20.5763050011051
pvs_axial,50,0.0010102040816326531,15.486384990167883
pvs_axial,50,0.0010612244897959184,11.547494796888204
pvs_axial,50,0.0011122448979591837,6.85744944363381
pvs_axial,50,0.0011632653061224491,4.0769413714207
pvs_axial,50,0.0012142857142857142,0.7262215933441623
pvs_axial,50,0.0012653061224489797,-3.2521654720279414
pvs_axial,50,0.001316326530612245,-5.902298214944707
pvs_axial,50,0.0013673469387755102,-9.030948979392877
pvs_axial,50,0.0014183673469387757,-11.416010677100203
pvs_axial,50,0.0014693877551020407,-13.915390677632306
pvs_axial,50,0.0015204081632653062,-17.22652881717719
pvs_axial,50,0.0015714285714285715,-19.03921339962438
pvs_axial,50,0.0016224489795918368,-20.497746808517896
pvs_axial,50,0.001673469387755102,-22.006050679880527
pvs_axial,50,0.0017244897959183673,-24.31494429701335
pvs_axial,50,0.0017755102040816328,-25.86056187138316
pvs_axial,50,0.001826530612244898,-27.366484865905438
pvs_axial,50,0.0018775510204081633,-28.985711064893177
pvs_axial,50,0.0019285714285714286,-30.36712967114151
pvs_axial,50,0.001979591836734694,-32.18582821388548
pvs_axial,50,0.0020306122448979593,-33.214869208303604
pvs_axial,50,0.002081632653061225,-34.83953761121875
pvs_axial,50,0.00213265306122449,-35.68612442710259
pvs_axial,50,0.002183673469387755,-36.93534375369284
pvs_axial,50,0.0022346938775510204,-38.450352819245026
pvs_axial,50,0.002285714285714286,-39.38751221389773
pvs_axial,50,0.002336734693877551,-40.74626646791154
pvs_axial,50,0.0023877551020408164,-41.913679591272924
pvs_axial,50,0.002438775510204082,-42.91130328080868
pvs_axial,50,0.002489795918367347,-44.553408114952845
pvs_axial,50,0.0025408163265306124,-44.937266133930365
pvs_axial,50,0.0025918367346938775,-45.8270956244463
pvs_axial,50,0.002642857142857143,-46.5975186467186
pvs_axial,50,0.0026938775510204085,-47.444314559009975
pvs_axial,50,0.0027448979591836735,-48.15328316928331
pvs_axial,50,0.002795918367346939,-49.024546887109885
pvs_axial,50,0.002846938775510204,-49.69329442929377
pvs_axial,50,0.0028979591836734695,-50.36713191265284
pvs_axial,50,0.0029489795918367346,-51.35385322242206
pvs_axial,50,0.003,-51.917388251833586
pvs_radial,50,0.0002,-42.42391060699247
pvs_radial,50,0.00025714285714285715,-42.2814703016493
pvs_radial,50,0.0003142857142857143,-42.33647658484018
pvs_radial,50,0.00037142857142857143,-42.87798194360381
pvs_radial,50,0.00042857142857142855,-42.94562889457292
pvs_radial,50,0.0004857142857142857,-43.30322778864694
pvs_radial,50,0.0005428571428571429,-43.60620005233138
pvs_radial,50,0.0006,-43.514024570920654
pvs_radial,50,0.0006571428571428571,-44.57808900454851
pvs_radial,50,0.0007142857142857143,-43.77339028651308
pvs_radial,50,0.0007714285714285715,-44.1394954792368
pvs_radial,50,0.0008285714285714285,-44.04691162987435
pvs_radial,50,0.0008857142857142857,-44.33475057850516
pvs_radial,50,0.0009428571428571429,-44.03406583647302
pvs_radial,50,0.001,-44.242789057237715
pvs_radial,50,0.0010571428571428572,-44.29206529236207
pvs_radial,50,0.0011142857142857144,-44.39320281503764
pvs_radial,50,0.0011714285714285715,-44.25674767897012
pvs_radial,50,0.0012285714285714287,-44.38450093865472
pvs_radial,50,0.0012857142857142859,-44.57178732573396
pvs_radial,50,0.001342857142857143,-44.34537011657265
pvs_radial,50,0.0014,-44.287283639124915
pvs_radial,50,0.0014571428571428572,-44.571229961428116
pvs_radial,50,0.0015142857142857143,-44.65593447034437
pvs_radial,50,0.0015714285714285715,-44.678922274790054
pvs_radial,50,0.0016285714285714287,-44.954677803853386
pvs_radial,50,0.0016857142857142858,-44.79804173753256
pvs_radial,50,0.001742857142857143,-45.609931772979834
pvs_radial,50,0.0018,-44.66045937950783
pvs_radial,50,0.0018571428571428571,-44.92221112573418
pvs_radial,50,0.0019142857142857143,-44.75389987548858
pvs_radial,50,0.0019714285714285715,-44.97310132930513
pvs_radial,50,0.0020285714285714286,-44.679483505508145
pvs_radial,50,0.002085714285714286,-44.52306274927531
pvs_radial,50,0.002142857142857143,-44.746739340195326
pvs_radial,50,0.0022,-44.82266693242098
pvs_radial,50,0.0022571428571428573,-44.39237303056427
pvs_radial,50,0.0023142857142857145,-44.82079848861399
pvs_radial,50,0.0023714285714285716,-44.430734993910065
pvs_radial,50,0.002428571428571429,-44.707272915288954
pvs_radial,50,0.002485714285714286,-44.317247147940904
pvs_radial,50,0.0025428571428571427,-44.581435377499574
pvs_radial,50,0.0026,-44.68460996711223
pvs_radial,50,0.002657142857142857,-44.72463304324072
pvs_radial,50,0.0027142857142857142,-44.80672813322398
pvs_radial,50,0.0027714285714285714,-44.708982023177064
pvs_radial,50,0.0028285714285714286,-45.51864037273046
pvs_radial,50,0.0028857142857142857,-44.61960643573624
pvs_radial,50,0.002942857142857143,-44.793197610037545
pvs_radial,50,0.003,-44.33357670515293
pvs_fraction,50,0.0,-50.14228181829201
pvs_fraction,50,0.02040816326530612,-49.5000572167471
pvs_fraction,50,0.04081632653061224,-48.86313765188587
pvs_fraction,50,0.061224489795918366,-48.01685690374045
pvs_fraction,50,0.08163265306122448,-47.68066558740843
pvs_fraction,50,0.1020408163265306,-46.441381540151575
pvs_fraction,50,0.12244897959183673,-46.719771066564604
pvs_fraction,50,0.14285714285714285,-45.443345192621294
pvs_fraction,50,0.16326530612244897,-45.134162534582465
pvs_fraction,50,0.18367346938775508,-44.06824515003781
pvs_fraction,50,0.2040816326530612,-43.84191168646701
pvs_fraction,50,0.22448979591836732,-43.113947092573724
pvs_fraction,50,0.24489795918367346,-42.57845950269966
pvs_fraction,50,0.26530612244897955,-42.05653012999523
pvs_fraction,50,0.2857142857142857,-41.07352519522884
pvs_fraction,50,0.3061224489795918,-41.638258677246526
pvs_fraction,50,0.32653061224489793,-39.62172795517942
pvs_fraction,50,0.3469387755102041,-39.18190868689279
pvs_fraction,50,0.36734693877551017,-37.93213986622936
pvs_fraction,50,0.3877551020408163,-37.69570903482857
pvs_fraction,50,0.4081632653061224,-36.957282787039674
pvs_fraction,50,0.42857142857142855,-35.93961450852834
pvs_fraction,50,0.44897959183673464,-34.86368224310337
pvs_fraction,50,0.4693877551020408,-34.527219619228504
pvs_fraction,50,0.4897959183673469,-33.0390997029912
pvs_fraction,50,0.5102040816326531,-33.23339643831673
pvs_fraction,50,0.5306122448979591,-31.392785182586994
pvs_fraction,50,0.5510204081632653,-31.062055297299718
pvs_fraction,50,0.5714285714285714,-29.83500932047387
pvs_fraction,50,0.5918367346938775,-29.115842341626625
pvs_fraction,50,0.6122448979591836,-28.02252862128834
pvs_fraction,50,0.6326530612244897,-27.3830231182019
pvs_fraction,50,0.6530612244897959,-26.562639508577877
pvs_fraction,50,0.673469387755102,-25.260448512142737
pvs_fraction,50,0.6938775510204082,-25.360513560257047
pvs_fraction,50,0.7142857142857142,-22.833968205114694
pvs_fraction,50,0.7346938775510203,-22.016326965798918
pvs_fraction,50,0.7551020408163265,-20.571730967944244
pvs_fraction,50,0.7755102040816326,-19.750062563001883
pvs_fraction,50,0.7959183673469387,-18.39311778374261
pvs_fraction,50,0.8163265306122448,-16.999441568448702
pvs_fraction,50,0.836734693877551,-15.052086280073738
pvs_fraction,50,0.8571428571428571,-14.207193935226684
pvs_fraction,50,0.8775510204081632,-12.031416663657527
pvs_fraction,50,0.8979591836734693,-11.29397481080024
pvs_fraction,50,0.9183673469387754,-8.581700742206303
pvs_fraction,50,0.9387755102040816,-7.133044912744817
pvs_fraction,50,0.9591836734693877,-4.767061537672783
pvs_fraction,50,0.9795918367346939,-2.681815619607421
pvs_fraction,50,1.0,0.21248912533865932
alpha,20,0.0,-17.42998068774321
alpha,20,0.0320570678937734,-17.78459244672256
alpha,20,0.0641141357875468,-17.04839134716167
alpha,20,0.0961712036813202,-20.08951704442495
alpha,20,0.1282282715750936,-16.96396740520725
alpha,20,0.16028533946886703,-18.117818296017564
alpha,20,0.1923424073626404,-18.974614564196045
alpha,20,0.2243994752564138,-20.084050906089352
alpha,20,0.2564565431501872,-20.346786836552248
alpha,20,0.2885136110439606,-21.373148716105526
alpha,20,0.32057067893773405,-21.66521696590743
alpha,20,0.3526277468315074,-23.06346922937309
alpha,20,0.3846848147252808,-23.60644003856467
alpha,20,0.4167418826190542,-26.912393672908603
alpha,20,0.4487989505128276,-26.202293039752497
alpha,20,0.48085601840660097,-28.493446237033737
alpha,20,0.5129130863003744,-29.17373574230814
alpha,20,0.5449701541941478,-31.592392108845598
alpha,20,0.5770272220879212,-33.10431860659864
alpha,20,0.6090842899816946,-34.59796990352926
alpha,20,0.6411413578754681,-36.99795256648737
alpha,20,0.6731984257692414,-38.73037700308318
alpha,20,0.7052554936630148,-42.15515344380643
alpha,20,0.7373125615567883,-40.57925636598554
alpha,20,0.7693696294505616,-42.99730621630498
alpha,20,0.801426697344335,-45.03648679951938
alpha,20,0.8334837652381084,-46.79892775253693
alpha,20,0.8655408331318818,-47.78950403060074
alpha,20,0.8975979010256552,-49.65509682615713
alpha,20,0.9296549689194287,-50.98648121495356
alpha,20,0.9617120368132019,-52.77460738464256
alpha,20,0.9937691047069754,-53.640424778164956
alpha,20,1.0258261726007487,-56.943325225857166
alpha,20,1.0578832404945222,-56.14258061609725
alpha,20,1.0899403083882957,-59.012649840988296
alpha,20,1.1219973762820692,-59.43055102459083
alpha,20,1.1540544441758425,-61.79889923240099
alpha,20,1.1861115120696157,-62.475811810182584
alpha,20,1.2181685799633892,-63.70418044741914
alpha,20,1.2502256478571625,-65.27445695484163
alpha,20,1.2822827157509362,-67.30392942672282
alpha,20,1.3143397836447095,-67.94383680935063
alpha,20,1.3463968515384828,-67.26460998804723
alpha,20,1.3784539194322563,-67.56119450490402
alpha,20,1.4105109873260295,-68.9496043911865
alpha,20,1.442568055219803,-69.01324518257992
alpha,20,1.4746251231135765,-69.60810917368129
alpha,20,1.5066821910073498,-69.52364124792692
alpha,20,1.5387392589011233,-69.28142437205689
alpha,20,1.5707963267948966,-69.66391261929316
pvs_axial,20,0.0005,104.85743874224491
pvs_axial,20,0.0005510204081632653,85.47964326751982
pvs_axial,20,0.0006020408163265307,76.95134952675355
pvs_axial,20,0.0006530612244897959,66.05302277122023
pvs_axial,20,0.0007040816326530613,52.70178404242348
pvs_axial,20,0.0007551020408163266,45.700203267391544
pvs_axial,20,0.0008061224489795918,36.797146043487224
pvs_axial,20,0.0008571428571428571,31.194007610510617
pvs_axial,20,0.0009081632653061225,25.066326583149127
pvs_axial,20,0.0009591836734693879,15.843829280357117
pvs_axial,20,0.0010102040816326531,12.509197273926425
pvs_axial,20,0.0010612244897959184,10.445119145916074
pvs_axial,20,0.0011122448979591837,8.099217256873011
pvs_axial,20,0.0011632653061224491,2.629657853215626
pvs_axial,20,0.0012142857142857142,-0.00750416911161027
pvs_axial,20,0.0012653061224489797,-2.603064281855358
pvs_axial,20,0.001316326530612245,-5.622921180070476
pvs_axial,20,0.0013673469387755102,-7.910386530071894
pvs_axial,20,0.0014183673469387757,-11.752789900025357
pvs_axial,20,0.0014693877551020407,-12.880778376705141
pvs_axial,20,0.0015204081632653062,-16.221273689595385
pvs_axial,20,0.0015714285714285715,-16.877043219827367
pvs_axial,20,0.0016224489795918368,-18.99831086342863
pvs_axial,20,0.001673469387755102,-22.08705072811925
pvs_axial,20,0.0017244897959183673,-23.25799303563063
pvs_axial,20,0.0017755102040816328,-25.880441992995117
pvs_axial,20,0.001826530612244898,-27.860367532357778
pvs_axial,20,0.0018775510204081633,-29.428004077436935
pvs_axial,20,0.0019285714285714286,-33.02431622782118
pvs_axial,20,0.001979591836734694,-32.636260613324914
pvs_axial,20,0.0020306122448979593,-33.93996229193479
pvs_axial,20,0.002081632653061225,-34.9013949946946
pvs_axial,20,0.00213265306122449,-36.155335398514694
pvs_axial,20,0.002183673469387755,-37.0014561974925
pvs_axial,20,0.0022346938775510204,-38.391816471166315
pvs_axial,20,0.002285714285714286,-39.16050282886083
pvs_axial,20,0.002336734693877551,-40.03043665699793
pvs_axial,20,0.0023877551020408164,-41.844894527182234
pvs_axial,20,0.002438775510204082,-42.37944824180314
pvs_axial,20,0.002489795918367347,-43.981128936058234
pvs_axial,20,0.0025408163265306124,-44.038900974609746
pvs_axial,20,0.0025918367346938775,-44.6269152573357
pvs_axial,20,0.002642857142857143,-46.39867308254868
pvs_axial,20,0.0026938775510204085,-47.00332951539251
pvs_axial,20,0.0027448979591836735,-48.29588592899286
pvs_axial,20,0.002795918367346939,-49.40411615339572
pvs_axial,20,0.002846938775510204,-49.694132266348866
pvs_axial,20,0.0028979591836734695,-52.44274102903434
pvs_axial,20,0.0029489795918367346,-51.17288739806439
pvs_axial,20,0.003,-52.41505124968288
pvs_radial,20,0.0002,-42.33848453843544
pvs_radial,20,0.00025714285714285715,-43.02852453711572
pvs_radial,20,0.0003142857142857143,-42.28308706168486
pvs_radial,20,0.00037142857142857143,-42.791167495099465
pvs_radial,20,0.00042857142857142855,-42.90822629241909
pvs_radial,20,0.0004857142857142857,-43.17852031104029
pvs_radial,20,0.0005428571428571429,-42.84659520604379
pvs_radial,20,0.0006,-43.16688828624778
pvs_radial,20,0.0006571428571428571,-43.68815230742627
pvs_radial,20,0.0007142857142857143,-43.12538305045065
pvs_radial,20,0.0007714285714285715,-43.01404034265724
pvs_radial,20,0.0008285714285714285,-43.7776264476523
pvs_radial,20,0.0008857142857142857,-44.01994731716705
pvs_radial,20,0.0009428571428571429,-44.11630521259302
pvs_radial,20,0.001,-44.807844343585245
pvs_radial,20,0.0010571428571428572,-44.474142443078954
pvs_radial,20,0.0011142857142857144,-46.52462547833967
pvs_radial,20,0.0011714285714285715,-44.160930142433564
pvs_radial,20,0.0012285714285714287,-44.86348231595896
pvs_radial,20,0.0012857142857142859,-44.49564794459669
pvs_radial,20,0.001342857142857143,-45.06381827122455
pvs_radial,20,0.0014,-44.40276853270082
