Parameter,SNR,Value,Error
pvs_axial,inf,0.0026938775510204085,-0.008523502831977321
pvs_axial,inf,0.0027448979591836735,0.07374702675330602
pvs_axial,inf,0.002795918367346939,-0.03402163219609275
pvs_axial,inf,0.002846938775510204,-0.00990368256589639
pvs_axial,inf,0.0028979591836734695,-0.02117462384051127
pvs_axial,inf,0.0029489795918367346,-0.024883467963888226
pvs_axial,inf,0.003,-0.0003139328646721331
pvs_radial,inf,0.0002,0.0029125816526122394
pvs_radial,inf,0.00025714285714285715,0.0001797326606468863
pvs_radial,inf,0.0003142857142857143,-0.0004978354900889159
pvs_radial,inf,0.00037142857142857143,0.0038283467637331703
pvs_radial,inf,0.00042857142857142855,-0.0386866256163812
pvs_radial,inf,0.0004857142857142857,-0.0035456787691491576
pvs_radial,inf,0.0005428571428571429,-0.0062704367187645105
pvs_radial,inf,0.0006,0.00015845062418390343
pvs_radial,inf,0.0006571428571428571,-0.014079660273797617
pvs_radial,inf,0.0007142857142857143,-0.17574971540822854
pvs_radial,inf,0.0007714285714285715,-0.007549868610099569
pvs_radial,inf,0.0008285714285714285,0.01509068712608752
pvs_radial,inf,0.0008857142857142857,-0.04549212829189561
pvs_radial,inf,0.0009428571428571429,-0.03605928390151489
pvs_radial,inf,0.001,-0.06144049834717544
pvs_radial,inf,0.0010571428571428572,-0.13736670057495903
pvs_radial,inf,0.0011142857142857144,0.12031386884362241
pvs_radial,inf,0.0011714285714285715,-0.030607976049205204
pvs_radial,inf,0.0012285714285714287,-0.024561406120702373
pvs_radial,inf,0.0012857142857142859,-0.06562395753636346
pvs_radial,inf,0.001342857142857143,-0.02405387982991683
pvs_radial,inf,0.0014,-0.03331785724760075
pvs_radial,inf,0.0014571428571428572,-0.07478607150526034
pvs_radial,inf,0.0015142857142857143,-0.09319229490281633
pvs_radial,inf,0.0015714285714285715,-0.0972181535314684
pvs_radial,inf,0.0016285714285714287,-1.0500905104829026
pvs_radial,inf,0.0016857142857142858,-0.04813306513836227
pvs_radial,inf,0.001742857142857143,-0.7174858067732388
pvs_radial,inf,0.0018,-0.07559103934715733
pvs_radial,inf,0.0018571428571428571,1.3170223861738544
pvs_radial,inf,0.0019142857142857143,2.2838667680941116
pvs_radial,inf,0.0019714285714285715,-0.09091081347209484
pvs_radial,inf,0.0020285714285714286,-0.37048946865894317
pvs_radial,inf,0.002085714285714286,-0.321573226616783
pvs_radial,inf,0.002142857142857143,-0.09637681723191627
pvs_radial,inf,0.0022,-0.08142502053094455
pvs_radial,inf,0.0022571428571428573,0.01612618209420949
pvs_radial,inf,0.0023142857142857145,1.3468202685050674
pvs_radial,inf,0.0023714285714285716,-0.10212570589850437
pvs_radial,inf,0.002428571428571429,-0.20974600813326166
pvs_radial,inf,0.002485714285714286,0.11452794707331529
pvs_radial,inf,0.0025428571428571427,-0.0910284637681627
pvs_radial,inf,0.0026,0.022722509328172713
pvs_radial,inf,0.002657142857142857,-0.04264935898723454
pvs_radial,inf,0.0027142857142857142,-0.008701839162589958
pvs_radial,inf,0.0027714285714285714,0.011166214905523886
pvs_radial,inf,0.0028285714285714286,0.008124424530596419
pvs_radial,inf,0.0028857142857142857,-0.6672670505130512
pvs_radial,inf,0.002942857142857143,0.41451079547963343
pvs_radial,inf,0.003,-0.04083387620664944
pvs_fraction,inf,0.0,-33.27519269902791
pvs_fraction,inf,0.02040816326530612,-42.613803736402964
pvs_fraction,inf,0.04081632653061224,-0.7074381950085418
pvs_fraction,inf,0.061224489795918366,0.7804090814356353
pvs_fraction,inf,0.08163265306122448,0.4279754986684717
pvs_fraction,inf,0.1020408163265306,-3.134429567646646
pvs_fraction,inf,0.12244897959183673,-0.05994549129610324
pvs_fraction,inf,0.14285714285714285,-0.021544999155975048
pvs_fraction,inf,0.16326530612244897,-0.03448213726149271
pvs_fraction,inf,0.18367346938775508,-0.009345347235772267
pvs_fraction,inf,0.2040816326530612,-0.09196813376554855
pvs_fraction,inf,0.22448979591836732,0.056532597122078976
pvs_fraction,inf,0.24489795918367346,-0.01430991549247404
pvs_fraction,inf,0.26530612244897955,-0.028343114423286936
pvs_fraction,inf,0.2857142857142857,-0.015974643685495726
pvs_fraction,inf,0.3061224489795918,-0.012482336353182577
pvs_fraction,inf,0.32653061224489793,-0.006726566045469479
pvs_fraction,inf,0.3469387755102041,-0.008229712769210196
pvs_fraction,inf,0.36734693877551017,0.020530810103131653
pvs_fraction,inf,0.3877551020408163,-0.006294173905112971
pvs_fraction,inf,0.4081632653061224,-0.059103357955715
pvs_fraction,inf,0.42857142857142855,-0.017110523230449287
pvs_fraction,inf,0.44897959183673464,0.35135521542592474
pvs_fraction,inf,0.4693877551020408,0.011746509471569078
pvs_fraction,inf,0.4897959183673469,-0.005400067607207182
pvs_fraction,inf,0.5102040816326531,-0.007076811536065736
pvs_fraction,inf,0.5306122448979591,-0.0069904865747545675
pvs_fraction,inf,0.5510204081632653,-0.00860541203427656
pvs_fraction,inf,0.5714285714285714,-0.004612956898686349
pvs_fraction,inf,0.5918367346938775,-0.005691449726837744
pvs_fraction,inf,0.6122448979591836,-0.011391030669011953
pvs_fraction,inf,0.6326530612244897,-0.0057406702375778496
pvs_fraction,inf,0.6530612244897959,-0.008115356998593393
pvs_fraction,inf,0.673469387755102,-0.007551301343510647
pvs_fraction,inf,0.6938775510204082,0.0051729672032041485
pvs_fraction,inf,0.7142857142857142,-0.003557753398726604
pvs_fraction,inf,0.7346938775510203,-0.007186564935490053
pvs_fraction,inf,0.7551020408163265,-0.004501821342407786
pvs_fraction,inf,0.7755102040816326,-0.004188127044300882
pvs_fraction,inf,0.7959183673469387,-0.003242431613932617
pvs_fraction,inf,0.8163265306122448,-0.0011251921338932547
pvs_fraction,inf,0.836734693877551,-0.0034171856723268224
pvs_fraction,inf,0.8571428571428571,-0.0009657186783931793
pvs_fraction,inf,0.8775510204081632,-0.0007094590570404236
pvs_fraction,inf,0.8979591836734693,-0.007021113523353328
pvs_fraction,inf,0.9183673469387754,0.0048260768730108705
pvs_fraction,inf,0.9387755102040816,-0.019743447141479242
pvs_fraction,inf,0.9591836734693877,0.008381149387403503
pvs_fraction,inf,0.9795918367346939,-0.023726567588960162
pvs_fraction,inf,1.0,0.3511312596686175
alpha,50,0.0,-8.32786670150364
alpha,50,0.0320570678937734,-6.834297911550857
alpha,50,0.0641141357875468,-10.660870480625015
alpha,50,0.0961712036813202,-11.43301711156855
alpha,50,0.1282282715750936,-9.099236066742076
alpha,50,0.16028533946886703,-5.809904987856055
alpha,50,0.1923424073626404,-10.43040603788797
alpha,50,0.2243994752564138,0.920133506665494
alpha,50,0.2564565431501872,1.5994894922095173
alpha,50,0.2885136110439606,-0.8833301386002127
alpha,50,0.32057067893773405,6.845500821174407
alpha,50,0.3526277468315074,1.1487958001663823
alpha,50,0.3846848147252808,1.6071986308964068
alpha,50,0.4167418826190542,1.5653354790448764
alpha,50,0.4487989505128276,5.319187280928102
alpha,50,0.48085601840660097,2.1187530144398337
alpha,50,0.5129130863003744,-2.434959759251549
alpha,50,0.5449701541941478,2.5239808286340266
alpha,50,0.5770272220879212,4.308663153756468
alpha,50,0.6090842899816946,5.321764253483505
alpha,50,0.6411413578754681,3.9979892747830648
alpha,50,0.6731984257692414,0.4161828093998675
alpha,50,0.7052554936630148,5.938434692118767
alpha,50,0.7373125615567883,1.39851479514755
alpha,50,0.7693696294505616,6.471860247829673
alpha,50,0.801426697344335,-0.7561505797271956
alpha,50,0.8334837652381084,0.40015510891058625
alpha,50,0.8655408331318818,0.5056032740529506
alpha,50,0.8975979010256552,0.995342307491884
alpha,50,0.9296549689194287,-1.4788931994935692
alpha,50,0.9617120368132019,-2.045372647775365
alpha,50,0.9937691047069754,3.445651241606744
alpha,50,1.0258261726007487,-0.6472623645787878
alpha,50,1.0578832404945222,2.1055897330569726
alpha,50,1.0899403083882957,-1.1262247942365415
alpha,50,1.1219973762820692,-2.098676168766665
alpha,50,1.1540544441758425,-1.8939305817143073
alpha,50,1.1861115120696157,4.1693008559147575
alpha,50,1.2181685799633892,-5.995785330091253
alpha,50,1.2502256478571625,-5.713942111272568
alpha,50,1.2822827157509362,-7.575478212343441
alpha,50,1.3143397836447095,-3.0342687137297815
alpha,50,1.3463968515384828,3.211313912639512
alpha,50,1.3784539194322563,-3.0472521286048297
alpha,50,1.4105109873260295,-0.28189109320783334
alpha,50,1.442568055219803,4.903893218113568
alpha,50,1.4746251231135765,2.133413926595133
alpha,50,1.5066821910073498,-2.9803706041867772
alpha,50,1.5387392589011233,6.6024858731335
alpha,50,1.5707963267948966,6.730288510371958
pvs_axial,50,0.0005,-1.2820972329446327
pvs_axial,50,0.0005510204081632653,0.9051708576723024
pvs_axial,50,0.0006020408163265307,-0.3253226604894221
pvs_axial,50,0.0006530612244897959,0.18155441923829094
pvs_axial,50,0.0007040816326530613,1.1546958948146593
pvs_axial,50,0.0007551020408163266,2.476468595885258
pvs_axial,50,0.0008061224489795918,2.7817401445311987
pvs_axial,50,0.0008571428571428571,-0.59914378719984
pvs_axial,50,0.0009081632653061225,0.06449791953020308
pvs_axial,50,0.0009591836734693879,-0.21380173406952557
pvs_axial,50,0.0010102040816326531,0.10325549264971849
pvs_axial,50,0.0010612244897959184,-3.008084528491371
pvs_axial,50,0.0011122448979591837,0.7184736498370308
pvs_axial,50,0.0011632653061224491,1.4152872602097635
pvs_axial,50,0.0012142857142857142,1.6151711456438473
pvs_axial,50,0.0012653061224489797,2.7735498989273153
pvs_axial,50,0.001316326530612245,0.338643481013668
pvs_axial,50,0.0013673469387755102,-0.03857499922342189
pvs_axial,50,0.0014183673469387757,1.7319123531419554
pvs_axial,50,0.0014693877551020407,-1.1627439580119892
pvs_axial,50,0.0015204081632653062,-0.8102495837024227
pvs_axial,50,0.0015714285714285715,2.4269140067421087
pvs_axial,50,0.0016224489795918368,-1.630316069435819
pvs_axial,50,0.001673469387755102,-1.7027541527746162
pvs_axial,50,0.0017244897959183673,0.15297745577175842
pvs_axial,50,0.0017755102040816328,0.0014303733462186718
pvs_axial,50,0.001826530612244898,1.8756758650722354
pvs_axial,50,0.0018775510204081633,-0.23804440539883828
pvs_axial,50,0.0019285714285714286,0.9672869295597641
pvs_axial,50,0.001979591836734694,-1.3137617246292
pvs_axial,50,0.0020306122448979593,-2.0564044714737735
pvs_axial,50,0.002081632653061225,-1.729923869000621
pvs_axial,50,0.00213265306122449,-0.32740280775032826
pvs_axial,50,0.002183673469387755,0.4886138879091522
pvs_axial,50,0.0022346938775510204,0.6099013582697576
pvs_axial,50,0.002285714285714286,-1.66951533153621
pvs_axial,50,0.002336734693877551,3.2724946566805913
pvs_axial,50,0.0023877551020408164,0.5989973556002447
pvs_axial,50,0.002438775510204082,-0.31107068190337367
pvs_axial,50,0.002489795918367347,0.3693646349497731
pvs_axial,50,0.0025408163265306124,1.342927365986456
pvs_axial,50,0.0025918367346938775,-4.4637426948313355
pvs_axial,50,0.002642857142857143,-1.7157138929081408
pvs_axial,50,0.0026938775510204085,-0.9506807065854541
pvs_axial,50,0.0027448979591836735,0.030872085877611165
pvs_axial,50,0.002795918367346939,3.348949285461066
pvs_axial,50,0.002846938775510204,-0.4171909381760175
pvs_axial,50,0.0028979591836734695,0.9335537220147471
pvs_axial,50,0.0029489795918367346,-2.250972850266387
pvs_axial,50,0.003,-2.2987336282225486
pvs_radial,50,0.0002,-0.9196358045564461
pvs_radial,50,0.00025714285714285715,-0.920478427847161
pvs_radial,50,0.0003142857142857143,0.2874795262070902
pvs_radial,50,0.00037142857142857143,-0.5175546502123458
pvs_radial,50,0.00042857142857142855,0.8696081170354203
pvs_radial,50,0.0004857142857142857,0.15203360881522512
pvs_radial,50,0.0005428571428571429,-0.9204689219526416
pvs_radial,50,0.0006,0.5306149386237174
pvs_radial,50,0.0006571428571428571,0.7282787308767363
pvs_radial,50,0.0007142857142857143,1.4975439057874596
pvs_radial,50,0.0007714285714285715,-5.093810490893232
pvs_radial,50,0.0008285714285714285,-0.884442171764503
pvs_radial,50,0.0008857142857142857,-0.4893203953950255
pvs_radial,50,0.0009428571428571429,1.0992314345924252
pvs_radial,50,0.001,3.5953056234828784
pvs_radial,50,0.0010571428571428572,1.0524433181092614
pvs_radial,50,0.0011142857142857144,3.019893757777904
pvs_radial,50,0.0011714285714285715,-2.1302671676346074
pvs_radial,50,0.0012285714285714287,0.4072115919437921
pvs_radial,50,0.0012857142857142859,-5.210474920797134
pvs_radial,50,0.001342857142857143,2.599045725456422
pvs_radial,50,0.0014,0.908634649367551
pvs_radial,50,0.0014571428571428572,0.39440064779652284
pvs_radial,50,0.0015142857142857143,1.3298880598097313
pvs_radial,50,0.0015714285714285715,5.631239256735318
pvs_radial,50,0.0016285714285714287,2.2356705101746757
pvs_radial,50,0.0016857142857142858,4.1986674562926805
pvs_radial,50,0.001742857142857143,-0.5805917971073281
pvs_radial,50,0.0018,5.566960527138848
pvs_radial,50,0.0018571428571428571,-4.7625800481832705
pvs_radial,50,0.0019142857142857143,4.994717060719206
pvs_radial,50,0.0019714285714285715,0.7311361769775112
pvs_radial,50,0.0020285714285714286,9.883635075809206
pvs_radial,50,0.002085714285714286,3.0186907499292395
pvs_radial,50,0.002142857142857143,4.53294921773802
pvs_radial,50,0.0022,0.12538555889700193
pvs_radial,50,0.0022571428571428573,-0.7396396906206895
pvs_radial,50,0.0023142857142857145,4.77634243516137
pvs_radial,50,0.0023714285714285716,-6.7233489484417905
pvs_radial,50,0.002428571428571429,3.0963424474911903
pvs_radial,50,0.002485714285714286,0.5215117670257561
pvs_radial,50,0.0025428571428571427,-1.4355036976905993
pvs_radial,50,0.0026,0.6295715370756122
pvs_radial,50,0.002657142857142857,4.407016904877829
pvs_radial,50,0.0027142857142857142,0.3181032766701225
pvs_radial,50,0.0027714285714285714,4.461675076950065
pvs_radial,50,0.0028285714285714286,-6.131830965332195
pvs_radial,50,0.0028857142857142857,4.483348880399905
pvs_radial,50,0.002942857142857143,-4.838765451509346
pvs_radial,50,0.003,4.430554903080931
pvs_fraction,50,0.0,-38.15032959970363
pvs_fraction,50,0.02040816326530612,-9.22933147780602
pvs_fraction,50,0.04081632653061224,-1.5147011339152336
pvs_fraction,50,0.061224489795918366,5.842661247854286
pvs_fraction,50,0.08163265306122448,6.2473758910617745
pvs_fraction,50,0.1020408163265306,-10.402110456247733
pvs_fraction,50,0.12244897959183673,-0.8949667946554042
pvs_fraction,50,0.14285714285714285,-2.8660206603635454
pvs_fraction,50,0.16326530612244897,-0.7205390778352305
pvs_fraction,50,0.18367346938775508,3.2978444355095995
pvs_fraction,50,0.2040816326530612,-1.7212024278834073
pvs_fraction,50,0.22448979591836732,0.31774528870086466
pvs_fraction,50,0.24489795918367346,1.8609922167176702
pvs_fraction,50,0.26530612244897955,-0.9104274491157345
pvs_fraction,50,0.2857142857142857,0.11341530896355131
pvs_fraction,50,0.3061224489795918,-0.38160844427912066
pvs_fraction,50,0.32653061224489793,0.47748071975204515
pvs_fraction,50,0.3469387755102041,-2.760932248165862
pvs_fraction,50,0.36734693877551017,-0.33059625367306433
pvs_fraction,50,0.3877551020408163,-0.4949923905554453
pvs_fraction,50,0.4081632653061224,0.9693134308451732
pvs_fraction,50,0.42857142857142855,0.1969861883672676
pvs_fraction,50,0.44897959183673464,0.667933435845593
pvs_fraction,50,0.4693877551020408,0.906610313402988
pvs_fraction,50,0.4897959183673469,-1.3447148064071879
pvs_fraction,50,0.5102040816326531,-0.6530377394249662
pvs_fraction,50,0.5306122448979591,-0.7116183136694036
pvs_fraction,50,0.5510204081632653,-0.2362579814896535
pvs_fraction,50,0.5714285714285714,0.23297151399661117
pvs_fraction,50,0.5918367346938775,-0.8863186422233376
pvs_fraction,50,0.6122448979591836,0.05623516466417291
pvs_fraction,50,0.6326530612244897,0.7556104090636426
pvs_fraction,50,0.6530612244897959,-0.5845424704873005
pvs_fraction,50,0.673469387755102,3.8239388259300355
pvs_fraction,50,0.6938775510204082,-0.16440045933356107
pvs_fraction,50,0.7142857142857142,0.09854511242745477
pvs_fraction,50,0.7346938775510203,-0.6960235689804658
pvs_fraction,50,0.7551020408163265,0.1393782209232457
pvs_fraction,50,0.7755102040816326,-0.47546790984965764
pvs_fraction,50,0.7959183673469387,2.5157423776205374
pvs_fraction,50,0.8163265306122448,-0.2018657637833099
pvs_fraction,50,0.836734693877551,2.5144135994126513
pvs_fraction,50,0.8571428571428571,0.38993710304880036
pvs_fraction,50,0.8775510204081632,0.3207823216622666
pvs_fraction,50,0.8979591836734693,-0.6421349593474737
pvs_fraction,50,0.9183673469387754,0.0915529824793357
pvs_fraction,50,0.9387755102040816,-0.5482437052509499
pvs_fraction,50,0.9591836734693877,1.8783403601924753
pvs_fraction,50,0.9795918367346939,1.447551850091265
pvs_fraction,50,1.0,4.6555218658880175
alpha,20,0.0,-7.107792392119782
alpha,20,0.0320570678937734,-5.410622151024465
alpha,20,0.0641141357875468,-7.217017087830817
alpha,20,0.0961712036813202,-7.4763614251698085
alpha,20,0.1282282715750936,-7.485900779325464
alpha,20,0.16028533946886703,-9.552431830977905
alpha,20,0.1923424073626404,-0.09723033153584063
alpha,20,0.2243994752564138,-2.947606971125096
alpha,20,0.2564565431501872,1.6415614018271334
alpha,20,0.2885136110439606,-8.16513144019423
alpha,20,0.32057067893773405,-3.7101561560536043
alpha,20,0.3526277468315074,4.784083445569599
alpha,20,0.3846848147252808,-12.115639562467567
alpha,20,0.4167418826190542,-3.2494210653546616
alpha,20,0.4487989505128276,-0.5936736471444639
alpha,20,0.48085601840660097,-2.743334169931798
alpha,20,0.5129130863003744,6.886710591892739
alpha,20,0.5449701541941478,-2.7216055848287497
alpha,20,0.5770272220879212,-3.3976356554482523
alpha,20,0.6090842899816946,3.3013804638377993
alpha,20,0.6411413578754681,-1.9825667725065899
alpha,20,0.6731984257692414,-0.5539766373970479
alpha,20,0.7052554936630148,1.3148372426836796
alpha,20,0.7373125615567883,-2.552450462642685
alpha,20,0.7693696294505616,-9.14044700169145
alpha,20,0.801426697344335,2.7174484359936897
alpha,20,0.8334837652381084,-2.844733565661968
alpha,20,0.8655408331318818,6.760184345269417
alpha,20,0.8975979010256552,5.337253944378398
alpha,20,0.9296549689194287,2.9206975544769294
alpha,20,0.9617120368132019,2.2807967834604574
alpha,20,0.9937691047069754,-4.494349105127192
alpha,20,1.0258261726007487,-4.409017097505166
alpha,20,1.0578832404945222,1.588010563561248
alpha,20,1.0899403083882957,-2.9841999164798207
alpha,20,1.1219973762820692,0.3590431284033858
alpha,20,1.1540544441758425,-7.669952713433761
alpha,20,1.1861115120696157,3.02113057526043
alpha,20,1.2181685799633892,-4.034993428153583
alpha,20,1.2502256478571625,2.450593144156179
alpha,20,1.2822827157509362,5.992894437768349
alpha,20,1.3143397836447095,-7.810938753413083
alpha,20,1.3463968515384828,-1.0874877686575346
alpha,20,1.3784539194322563,-15.330360361052772
alpha,20,1.4105109873260295,4.013309894890084
alpha,20,1.442568055219803,1.5726339545888044
alpha,20,1.4746251231135765,4.664159148314304
alpha,20,1.5066821910073498,6.8880973130918735
alpha,20,1.5387392589011233,6.551372546819914
alpha,20,1.5707963267948966,1.780204950361831
pvs_axial,20,0.0005,2.9607371794946977
pvs_axial,20,0.0005510204081632653,15.671539276706318
pvs_axial,20,0.0006020408163265307,13.424131416092862
pvs_axial,20,0.0006530612244897959,10.519407002110821
pvs_axial,20,0.0007040816326530613,3.487048749151294
pvs_axial,20,0.0007551020408163266,7.638992645935543
pvs_axial,20,0.0008061224489795918,27.456564265198477
pvs_axial,20,0.0008571428571428571,6.019823995541822
pvs_axial,20,0.0009081632653061225,-2.1140867871322424
pvs_axial,20,0.0009591836734693879,-3.708621684222191
pvs_axial,20,0.0010102040816326531,11.61529274933522
pvs_axial,20,0.0010612244897959184,3.549238499161536
pvs_axial,20,0.0011122448979591837,3.899696403529345
pvs_axial,20,0.0011632653061224491,1.7070742625992863
pvs_axial,20,0.0012142857142857142,2.0827839369361434
pvs_axial,20,0.0012653061224489797,9.433412846531372
pvs_axial,20,0.001316326530612245,-4.598667089134663
pvs_axial,20,0.0013673469387755102,-1.4667054576166418
pvs_axial,20,0.0014183673469387757,-0.7837923135212267
pvs_axial,20,0.0014693877551020407,-8.207349649967119
pvs_axial,20,0.0015204081632653062,-2.9142414726160304
pvs_axial,20,0.0015714285714285715,1.0600071470554537
pvs_axial,20,0.0016224489795918368,3.8258926107271995
pvs_axial,20,0.001673469387755102,10.378985226219706
pvs_axial,20,0.0017244897959183673,-2.009022806657444
pvs_axial,20,0.0017755102040816328,8.199470594727359
pvs_axial,20,0.001826530612244898,2.048416465891756
pvs_axial,20,0.0018775510204081633,0.3567624920092067
pvs_axial,20,0.0019285714285714286,-0.7121967826716736
pvs_axial,20,0.001979591836734694,6.200415537683947
pvs_axial,20,0.0020306122448979593,-7.965859065291875
pvs_axial,20,0.002081632653061225,0.21532357847496542
pvs_axial,20,0.00213265306122449,-1.0695632748330968
pvs_axial,20,0.002183673469387755,1.7153044056153928
pvs_axial,20,0.0022346938775510204,9.801579587787007
pvs_axial,20,0.002285714285714286,0.46881994555344175
pvs_axial,20,0.002336734693877551,5.211473641653457
pvs_axial,20,0.0023877551020408164,-3.9473441538918657
pvs_axial,20,0.002438775510204082,-8.309640962713221
pvs_axial,20,0.002489795918367347,-5.363212687213377
pvs_axial,20,0.0025408163265306124,-0.0808692108819388
pvs_axial,20,0.0025918367346938775,0.0870753791203116
pvs_axial,20,0.002642857142857143,-2.159764008531492
pvs_axial,20,0.0026938775510204085,-3.3005995663628944
pvs_axial,20,0.0027448979591836735,-0.19819424782366377
pvs_axial,20,0.002795918367346939,-3.3509696212411795
pvs_axial,20,0.002846938775510204,-0.7781081292398141
pvs_axial,20,0.0028979591836734695,-1.9004262898702557
pvs_axial,20,0.0029489795918367346,-1.9388625864110807
pvs_axial,20,0.003,-13.43471220063402
pvs_radial,20,0.0002,-1.7979711882985565
pvs_radial,20,0.00025714285714285715,0.5905157044894718
pvs_radial,20,0.0003142857142857143,-1.43749640380152
pvs_radial,20,0.00037142857142857143,6.544758227324233
pvs_radial,20,0.00042857142857142855,1.511125310973365
pvs_radial,20,0.0004857142857142857,4.204417084087366
pvs_radial,20,0.0005428571428571429,-4.490755233154987
pvs_radial,20,0.0006,-1.793647905653721
pvs_radial,20,0.0006571428571428571,-4.0393497747188585
pvs_radial,20,0.0007142857142857143,-0.08135741867130104
pvs_radial,20,0.0007714285714285715,3.349518195782813
pvs_radial,20,0.0008285714285714285,-2.0532733989842114
pvs_radial,20,0.0008857142857142857,0.6948975229716453
pvs_radial,20,0.0009428571428571429,1.1062468720178713
pvs_radial,20,0.001,-0.2770714936513736
